Date,Amount,Transaction Id,Transaction type,Transaction details,Balance*
20-Jun-17,-$7.80,0,Test,Test,$28.51
19-Jun-17,-$15.90,0,Test,Test,$70.21
19-Jun-17,-$4.00,0,Test,Test,$111.91
16-Jun-17,-$4.00,0,Test,Test,$99.61
16-Jun-17,-$3.50,0,Test,Test,$103.61
15-Jun-17,-$40.00,0,Test,Test,$377.11
15-Jun-17,-$33.90,0,Test,Test,$417.11
15-Jun-17,-$16.99,0,Test,Test,$451.01
15-Jun-17,-$4.00,0,Test,Test,$497.50
15-Jun-17,$50.00,0,Test,Test,$505.00
15-Jun-17,-$270.00,0,Test,Test,$107.11
15-Jun-17,-$15.00,0,Test,Test,$468.00
15-Jun-17,-$14.50,0,Test,Test,$483.00
15-Jun-17,-$3.50,0,Test,Test,$501.50
14-Jun-17,-$500.00,0,Test,Test,$455.00
14-Jun-17,-$100.00,0,Test,Test,$955.00
14-Jun-17,-$20.00,0,Test,Test,"$1,055.00"
14-Jun-17,$35.00,0,Test,Test,"$1,075.00"
14-Jun-17,$170.00,0,Test,Test,"$1,040.00"
14-Jun-17,$370.00,0,Test,Test,$870.00
14-Jun-17,$500.00,0,Test,Test,$500.00
13-Jun-17,-$46.32,0,Test,Test,$0.00
13-Jun-17,-$34.64,0,Test,Test,$46.32
13-Jun-17,$5.00,0,Test,Test,$128.61
13-Jun-17,-$25.00,0,Test,Test,$80.96
13-Jun-17,-$12.30,0,Test,Test,$105.96
12-Jun-17,-$100.00,0,Test,Test,$123.61
12-Jun-17,-$35.00,0,Test,Test,$223.61
12-Jun-17,-$20.00,0,Test,Test,$258.61
12-Jun-17,-$2.00,0,Test,Test,$299.56
12-Jun-17,-$2.00,0,Test,Test,$301.56
12-Jun-17,$30.00,0,Test,Test,$303.56
12-Jun-17,$35.00,0,Test,Test,$273.56
12-Jun-17,$170.00,0,Test,Test,$238.56
13-Jun-17,-$5.45,0,Test,Test,$118.26
13-Jun-17,-$4.90,0,Test,Test,$123.71
12-Jun-17,-$12.95,0,Test,Test,$278.61
12-Jun-17,-$8.00,0,Test,Test,$291.56
8-Jun-17,-$10.00,0,Test,Test,$68.56
7-Jun-17,-$6.50,0,Test,Test,$86.96
6-Jun-17,-$65.00,0,Test,Test,$93.46
6-Jun-17,$65.00,0,Test,Test,$177.21
7-Jun-17,-$8.40,0,Test,Test,$78.56
6-Jun-17,-$7.95,0,Test,Test,$158.46
5-Jun-17,-$35.00,0,Test,Test,$112.21
5-Jun-17,$35.00,0,Test,Test,$158.91
6-Jun-17,-$5.05,0,Test,Test,$172.16
6-Jun-17,-$5.75,0,Test,Test,$166.41
5-Jun-17,-$6.70,0,Test,Test,$147.21
5-Jun-17,-$5.00,0,Test,Test,$153.91
2-Jun-17,-$100.00,0,Test,Test,$123.91
2-Jun-17,$100.00,0,Test,Test,$223.91
1-Jun-17,-$14.40,0,Test,Test,$123.91
1-Jun-17,-$5.50,0,Test,Test,$138.31
1-Jun-17,-$4.20,0,Test,Test,$153.81
1-Jun-17,-$5.50,0,Test,Test,$143.81
1-Jun-17,-$4.50,0,Test,Test,$149.31
1-Jun-17,-$3.99,0,Test,Test,$158.01
31-May-17,-$500.00,0,Test,Test,$162.00
31-May-17,-$324.43,0,Test,Test,$662.00
31-May-17,-$8.00,0,Test,Test,$994.53
31-May-17,$164.14,0,Test,Test,"$1,005.03"
31-May-17,$324.43,0,Test,Test,$840.89
31-May-17,$500.00,0,Test,Test,$516.46
31-May-17,-$8.10,0,Test,Test,$986.43
31-May-17,-$2.50,0,Test,Test,"$1,002.53"
30-May-17,-$11.00,0,Test,Test,$29.46
30-May-17,-$13.00,0,Test,Test,$16.46
30-May-17,-$8.50,0,Test,Test,$49.71
30-May-17,-$3.60,0,Test,Test,$58.21
30-May-17,-$9.25,0,Test,Test,$40.46
26-May-17,-$20.00,0,Test,Test,$94.81
26-May-17,-$20.00,0,Test,Test,$114.81
26-May-17,-$2.00,0,Test,Test,$143.96
29-May-17,-$4.00,0,Test,Test,$61.81
26-May-17,-$29.00,0,Test,Test,$65.81
26-May-17,-$3.60,0,Test,Test,$140.36
25-May-17,-$3.30,0,Test,Test,$163.41
26-May-17,-$5.55,0,Test,Test,$134.81
25-May-17,-$9.90,0,Test,Test,$145.96
25-May-17,-$3.95,0,Test,Test,$155.86
25-May-17,-$3.60,0,Test,Test,$159.81
24-May-17,-$3.70,0,Test,Test,$178.46
25-May-17,-$3.25,0,Test,Test,$166.71
24-May-17,-$8.50,0,Test,Test,$169.96
23-May-17,-$14.40,0,Test,Test,$207.96
23-May-17,-$5.00,0,Test,Test,$222.36
23-May-17,$170.00,0,Test,Test,$231.86
23-May-17,-$4.50,0,Test,Test,$227.36
